01.01;0800;1640
01.02;0800;1640
01.03;0800;1640
01.04;0800;1640
01.05;0800;1640
01.06;0800;1640
01.07;0800;1640
01.08;0744;1650
01.09;0744;1650
01.10;0744;1650
01.11;0744;1650
01.12;0744;1650
01.13;0744;1650
01.14;0744;1650
01.15;0740;1700
01.16;0740;1700
01.17;0740;1700
01.18;0740;1700
01.19;0740;1700
01.20;0740;1700
01.21;0740;1700
01.22;0730;1705
01.23;0730;1705
01.24;0730;1705
01.25;0730;1705
01.26;0730;1705
01.27;0730;1705
01.28;0730;1705
01.29;0730;1705
01.30;0730;1705
01.31;0730;1705
02.01;0725;1720
02.02;0725;1720
02.03;0725;1720
02.04;0725;1720
02.05;0725;1720
02.06;0725;1720
02.07;0725;1720
02.08;0725;1720
02.09;0725;1720
02.10;0725;1720
02.11;0710;1735
02.12;0710;1735
02.13;0710;1740
02.14;0710;1740
02.15;0710;1740
02.16;0710;1740
02.17;0710;1740
02.18;0710;1740
02.19;0700;1750
02.20;0700;1750
02.21;0700;1750
02.22;0700;1750
02.23;0700;1750
02.24;0650;1810
02.25;0650;1810
02.26;0650;1810
02.27;0650;1810
02.28;0650;1810
02.29;0640;1810
03.01;0640;1810
03.02;0640;1810
03.03;0640;1810
03.04;0640;1810
03.05;0640;1810
03.06;0640;1810
03.07;0640;1810
03.08;0630;1810
03.09;0630;1810
03.10;0630;1810
03.11;0630;1815
03.12;0630;1815
03.13;0630;1815
03.14;0630;1815
03.15;0620;1815
03.16;0620;1815
03.17;0620;1815
03.18;0620;1815
03.19;0620;1815
03.20;0620;1820
03.21;0620;1820
03.22;0610;1820
03.23;0610;1820
03.24;0610;1820
03.25;0610;1850
03.26;0640;1850
03.27;0640;1850
03.28;0640;1850
03.29;0640;1850
03.30;0640;1850
03.31;0640;1850
04.01;0640;1940
04.02;0640;1940
04.03;0640;1940
04.04;0640;1940
04.05;0640;1940
04.06;0640;1940
04.07;0640;1940
04.08;0640;1940
04.09;0640;1940
04.10;0640;1940
04.11;0615;1950
04.12;0615;1950
04.13;0615;1950
04.14;0615;1950
04.15;0615;1950
04.16;0615;1950
04.17;0615;1950
04.18;0615;1950
04.19;0615;1950
04.20;0615;1950
04.21;0610;2000
04.22;0610;2000
04.23;0610;2000
04.24;0610;2000
04.25;0610;2010
04.26;0610;2010
04.27;0610;2010
04.28;0610;2010
04.29;0610;2010
04.30;0600;2010
05.01;0600;2020
05.02;0600;2020
05.03;0600;2020
05.04;0600;2020
05.05;0600;2020
05.06;0600;2020
05.07;0600;2020
05.08;0600;2020
05.09;0600;2020
05.10;0550;2040
05.11;0550;2040
05.12;0550;2040
05.13;0550;2040
05.14;0550;2045
05.15;0550;2045
05.16;0550;2045
05.17;0550;2045
05.18;0550;2045
05.19;0550;2045
05.20;0550;2050
05.21;0540;2050
05.22;0530;2100
05.23;0530;2100
05.24;0530;2100
05.25;0530;2100
05.26;0530;2100
05.27;0530;2100
05.28;0530;2100
05.29;0530;2110
05.30;0530;2110
05.31;0530;2110
06.01;0520;2120
06.02;0520;2120
06.03;0520;2120
06.04;0520;2120
06.05;0520;2120
06.06;0520;2120
06.07;0520;2120
06.08;0520;2120
06.09;0520;2120
06.10;0520;2120
06.11;0510;2130
06.12;0510;2130
06.13;0510;2130
06.14;0510;2130
06.15;0510;2130
06.16;0510;2130
06.17;0510;2130
06.18;0510;2130
06.19;0510;2130
06.20;0510;2130
06.21;0510;2130
06.22;0510;2130
06.23;0510;2130
06.24;0510;2130
06.25;0510;2130
06.26;0510;2130
06.27;0510;2130
06.28;0510;2130
06.29;0510;2130
06.30;0510;2130
07.01;0520;2120
07.02;0520;2120
07.03;0520;2120
07.04;0520;2120
07.05;0520;2120
07.06;0520;2120
07.07;0520;2110
07.08;0520;2110
07.09;0520;2110
07.10;0520;2110
07.11;0520;2110
07.12;0530;2100
07.13;0530;2100
07.14;0530;2100
07.15;0530;2100
07.16;0530;2100
07.17;0530;2055
07.18;0530;2055
07.19;0530;2055
07.20;0530;2055
07.21;0540;2040
07.22;0540;2040
07.23;0540;2040
07.24;0540;2040
07.25;0540;2040
07.26;0540;2040
07.27;0540;2040
07.28;0540;2040
07.29;0540;2040
07.30;0540;2040
07.31;0540;2040
08.01;0550;2020
08.02;0550;2020
08.03;0550;2020
08.04;0550;2020
08.05;0550;2020
08.06;0550;2020
08.07;0550;2020
08.08;0550;2020
08.09;0550;2020
08.10;0550;2020
08.11;0600;2010
08.12;0600;2010
08.13;0600;2010
08.14;0600;2010
08.15;0600;2010
08.16;0600;2000
08.17;0600;2000
08.18;0600;2000
08.19;0600;2000
